/content/drive/MyDrive/capstone/train_image/image/aug_23.jpg  177,217,524,548,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1034.jpg  -44,-19,579,611,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1033.jpg  55,80,504,541,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1030.jpg  67,169,199,370,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1031.JPG  93,125,317,437,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1029.jpg  591,278,755,488,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1028.jpg  49,101,273,486,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1027.JPG  269,122,514,473,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1026.jpg  90,143,284,416,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1024.jpg  142,169,723,943,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1022.jpg  279,194,499,544,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1021.jpg  260,467,614,1130,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1016.jpg  218,110,343,292,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1015.jpg  181,61,367,304,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1019.jpg  295,38,441,301,0 
/content/drive/MyDrive/capstone/train_image/image/aug_18.jpg  123,167,281,372,0 
/content/drive/MyDrive/capstone/train_image/image/aug_20.jpg  70,20,525,327,0 
/content/drive/MyDrive/capstone/train_image/image/aug_16.jpg  61,145,501,671,0 
/content/drive/MyDrive/capstone/train_image/image/aug_15.jpg  228,125,303,253,0 366,118,470,269,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1012.jpg  82,134,330,421,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1010.jpg  436,288,668,518,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1004.jpg  82,174,331,566,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1009.jpg  266,121,439,303,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1005.jpg  122,53,391,254,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1006.jpg  152,89,329,283,1 
/content/drive/MyDrive/capstone/train_image/image/aug_31.jpg  208,306,376,589,0 
/content/drive/MyDrive/capstone/train_image/image/aug_13.jpg  208,278,402,597,1 
/content/drive/MyDrive/capstone/train_image/image/aug_12.jpg  208,259,423,546,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1.jpg  238,228,491,631,0 
/content/drive/MyDrive/capstone/train_image/image/aug_29.jpg  278,344,368,505,0 
/content/drive/MyDrive/capstone/train_image/image/aug_25.jpg  24,47,165,214,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1043.jpg  31,75,153,262,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1042.jpg  234,78,453,329,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1044.jpg  45,58,155,204,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1041.jpg  760,405,1259,1198,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1040.jpg  1228,430,1438,733,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1039.JPG  286,93,505,397,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1038.JPG  -8,-49,506,579,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1037.jpg  23,5,132,126,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1036.jpg  104,152,300,486,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1035.jpg  -8,6,572,760,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1055.JPG  50,49,167,215,0 -11,37,82,178,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1054.JPG  743,424,1210,1196,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1053.JPG  90,100,164,215,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1052.PNG  228,511,589,1132,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1051.JPG  68,112,129,208,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1050.JPG  -6,44,109,211,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1049.JPG  361,53,951,774,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1047.JPG  127,37,207,164,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1046.JPG  129,111,225,237,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1045.JPG  146,286,504,798,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets23.png  77,83,274,262,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets5.png  52,6,341,249,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets13.png  45,64,509,487,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets4.png  138,64,257,182,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets1.png  83,65,263,249,0 
/content/drive/MyDrive/capstone/train_image/image/aug_2005.jpg  145,124,563,589,1 
/content/drive/MyDrive/capstone/train_image/image/aug_2004.jpg  210,3,489,404,1 
/content/drive/MyDrive/capstone/train_image/image/aug_2003.JPG  151,188,378,568,1 
/content/drive/MyDrive/capstone/train_image/image/aug_2002.JPG  195,122,300,298,1 
/content/drive/MyDrive/capstone/train_image/image/aug_2001.JPG  139,172,346,478,1 
/content/drive/MyDrive/capstone/train_image/image/aug_1059.JPG  15,41,99,178,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1057.JPG  230,123,313,261,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1058.JPG  32,53,162,261,0 
/content/drive/MyDrive/capstone/train_image/image/aug_1056.JPG  409,202,623,575,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets122.png  124,78,250,227,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets121.png  113,38,326,207,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets119.png  198,76,396,282,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets111.png  174,99,282,204,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets109.png  88,151,309,415,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets92.png  129,19,273,254,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets90.png  93,45,249,192,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets83.png  82,37,322,266,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets77.png  86,17,277,326,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets71.png  88,65,254,229,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets62.png  35,-6,333,453,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets60.png  58,-14,353,266,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets61.png  118,88,519,419,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets53.png  123,34,315,194,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets51.png  181,36,360,246,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets46.png  99,37,330,215,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets34.png  81,29,288,262,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets29.png  126,63,293,262,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets27.png  151,-31,559,411,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets225.png  62,1,240,251,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets210.png  162,93,243,204,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets202.png  76,31,185,206,0 196,32,366,242,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets212.png  33,35,308,279,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets201.png  69,57,466,383,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets187.png  102,-27,384,253,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets196.png  139,36,358,212,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets183.png  127,52,389,273,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets172.png  229,3,516,353,1 41,29,239,363,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets167.png  216,39,395,243,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets158.png  134,19,288,227,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets133.png  161,93,263,261,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets289.png  65,128,287,421,1 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets288.png  100,33,264,190,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets284.png  211,54,436,270,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets280.png  180,12,253,122,0 93,36,164,153,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets273.png  67,51,267,327,0 249,81,330,215,0 293,92,435,317,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets268.png  92,58,259,242,0 
/content/drive/MyDrive/capstone/train_image/image/aug_BikesHelmets263.png  82,29,299,196,0 
